accident_id,memo
1,"- 운전자 : 본인
- 사고장소 : 화곡3동
- 사고경위 : 좌회전신호 받고 차선변경중 다른차량과 접촉
- 파손부위 : 자차 왼쪽 범퍼,타이어쪽 / 상대방 조수석 범퍼 
- 대차 접수번호 : 
- 대인/대차정보 : 
- 보험 : 010-0001-0000
- 현장 출동 : 010-0002-0000 안전하게 마무리 
- 처리내용 : 사진요청중 / 현출O / 평일기준 2-3일내 연락 / 블박 확인요청"
2,"- 운전자 : 본인 
- 사고장소 : 12:54 
- 사고경위 : 인천공항 주차장에서 상대차가 접촉
- 파손부위 : 운전석 휀다 / 대차 앞범퍼 
- 대인/대차정보 : 김쏘카 010-0000-0013
- 처리내용 : 운행가능/면책금, 휴차료, 보상 제외 품목 추가비용 발생/평일기준 2-3일내 연락 
- 010-0000-0007 (김삼삼) 연락와서 쌍방과실이라고 주장."
3,"- 운전자 : 본인
- 사고장소 : 17:20 홍제3동
- 사고경위 : 주차된 차량 피하려다 다른차량 접촉
- 파손부위 : 자차 앞범퍼 / 상대차 뒷문,뒷범퍼
- 보험 담당자 : 010-0001-0000
- 대인/대차정보 : 
- 처리내용 : 현출O, 운행가능 / 면책금, 휴차료, 보상 제외 품목 추가비용 발생 / 평일기준 2-3일내 연락 "
4,"- 대차정보 : 김그린 010-0000-0003 / 동승자-배우자 기블루 
#대인 접수 요청 / 자차견인요청"
5,"- 운전자 : 본인 (동승자 1인)
- 사고장소 : 삼방동
- 사고경위 : 자차 후진 중 주차된 대차와 접촉
- 파손부위 : 자차 조수석쪽 뒷 후미등 밑 긁힘 / 대차 조수석쪽 뒷 후미등 밑 긁힘
- 대차 접수번호 :
- 대인/대차정보 : 64거7735 토스카 / 010-0000-0098 (차주와 연락되지 않아 성함정보 없음)
- 처리내용 : 운행가능 / 휴차료 / 면책금 안내"
6,"- 운전자 : 김소나 (동승자 미지정/준회원)  010-0000-0009
- 사고장소 : 부산금정 단지 내 / 01:40~50 경 
- 사고경위 : 아파트 단지내에서 유턴 중 핸들조작 실수로 화단에 접촉
- 파손부위 : 보조석쪽 앞범퍼 안개등부분 긁힘 / 범퍼 손상 / 조수석 앞 타이어 옆부분 찢어짐
- 보험 담당 : 010-0001-0000
- 처리내용 : 운행불가 / 견인요청 / 공업사 입고 안내 / 휴차료 / 보험적용 안 됨 안내"
7,"- 운전자 : 본인 (동승자 없음)
- 사고장소 : 장소 기억안 남 -일반도로 04:00 경
- 사고경위 :  자차 주행 중 커브길에서 속도를 줄이지 못하고 도로 연석과 같은 부분과 조수석쪽 앞바퀴 충돌
- 파손부위 : 핸들 오른쪽으로 틀어짐 /조수석쪽 앞바퀴 휠 긁힘
- 대인/대차정보 :
- 처리내용 : 운행불가 / 공업사 입고 / 휴차료 / 면책금 안내 
# 최초 인입 시 차량 운행 중 갑자기 핸들이 한쪽으로 쏠려 사고가 날 뻔
### 사고사진 요청 중"
8,"- 운전자 : 김레드(0100000000)
- 사고장소 : 사하구
- 사고경위 : 직진 주행 중 좌회전하던 대차와 충돌
- 파손부위 : 앞범퍼, 좌측 전조등, 본넷, 좌측 앞펜더
- 대인/대차정보 : 
- 처리내용 : 현장출동 O/동승자 등록 안된 운전자로 수리 금액 부분에 보험처리 불가 안내/휴차료, 차량 이용 제한/사진 전송 요청"
9,"- 운전자 : 김블랙 
- 사고장소 : 
- 사고경위 : 19:50경 제부도 앞바다 들어가는 길에서 소리가 나서 확인
- 파손부위 : 우측 뒷펜더
- 대인/대차정보 : 
- 처리내용 : 면책금, 휴차료, 차량 이용 제한/차량운행가능"
10,"- 운전자 : 최레드
- 사고장소 : 경기도 화성시 반월동
- 사고경위 : 17:00 후진하다가 나뭇가지와 흙더미에 부딪히고 긁혔다심
- 파손부위 : 뒷 범퍼
- 대인/대차정보 : 
- 처리내용 : 면책금, 휴차료, 차량 이용 제한/차량운행가능"
